Condition	Sex	Age	Location	Measure	Unit	Forecast Scenario	Year	Value	Lower	Upper	Data Suite	DA
Scabies	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	4410.15981012826	3947.90023130355	4898.43514354916	GBD	Infectious Diseases
Fungal skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	5561.81427339967	5024.07220318633	6250.32378045569	GBD	Infectious Diseases
Leukemia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	44.49527095194	30.1206889194273	57.0953561809236	GBD	Oncology
Viral skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1719.13159116409	1665.04969391057	1781.29622339481	GBD	Infectious Diseases
Other malignant neoplasms	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	62.3163461685821	48.6683036900706	78.3878076224201	GBD	Other Onco Hem
Other neoplasms	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1118.57913233626	957.774276335354	1295.60685544296	GBD	Other Onco Hem
Acne vulgaris	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	2614.99818688796	2393.40202885181	2866.70012954553	GBD	Other
Alopecia areata	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	244.86764797992	236.0887879387	253.65113493111	GBD	Immunology
Rheumatic heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	629.872889106316	516.26000005879	757.882914483334	GBD	Cardiovascular
Pruritus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1610.90210146053	1419.27404561558	1822.80522455263	GBD	Other
Ischemic heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	6955.48769626769	5832.63778779551	8460.30631683182	GBD	Cardiovascular
Urticaria	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	665.818709779813	591.678245387456	736.585411573176	GBD	Immunology
Stroke	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	2637.77910586105	2385.76234986053	2913.98651316017	GBD	Cardiovascular
Decubitus ulcer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	10.7568097488418	8.22201352534116	14.1194489265243	GBD	Other
Hypertensive heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	535.622982095207	386.911774290183	728.421524588793	GBD	Cardiovascular
Other skin and subcutaneous diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	9753.75754259061	7776.85999920943	11921.5269170782	GBD	Immunology
Cardiomyopathy and myocarditis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	31.7187791313531	25.5532409140292	38.6216978666037	GBD	Cardiovascular
Age-related and other hearing loss	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	40029.0123236279	37654.6371543874	42508.2940929632	GBD	Other
Other sense organ diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3467.46794090959	2720.92090373768	4493.8300773316	GBD	Other
Atrial fibrillation and flutter	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1307.75887044948	1020.54172805943	1731.57260642005	GBD	Cardiovascular
Oral disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	44227.2837955586	40707.6195141194	47615.6379132058	GBD	Other
Peripheral artery disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3050.26807974961	2439.36652944504	3660.81811759132	GBD	Cardiovascular
Road injuries	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	2888.26526396667	2423.1567299342	3518.44799520849	GBD	Other
Endocarditis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3.49357142286529	2.82819555893775	4.28648758113945	GBD	Cardiovascular
Non-rheumatic valvular heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	460.059851669586	419.552549202889	503.595457857534	GBD	Cardiovascular
Other transport injuries	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	236.438832803797	197.941634590731	286.237054689385	GBD	Other
Falls	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	8401.45452759877	7251.60029273659	9608.94198162904	GBD	Other
Other cardiovascular and circulatory diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	586.78287557793	417.680605433186	823.265504608615	GBD	Cardiovascular
Drowning	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	46.005586556121	39.4427807200207	53.3731041562569	GBD	Other
Fire, heat, and hot substances	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	853.600890642498	688.169432973779	1057.56997989069	GBD	Other
Chronic obstructive pulmonary disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	5361.49682611607	4493.65586913803	6392.87022670722	GBD	Immunology
Poisonings	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	32.8257707152893	27.6444195508649	38.4173566478923	GBD	Other
Pneumoconiosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	21.8169499998732	16.9936447458138	26.9809451636276	GBD	Other
Exposure to mechanical forces	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1461.58928961331	1252.29286404592	1722.42790238213	GBD	Other
Asthma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1207.98392851992	1000.70040459075	1441.37600281286	GBD	Immunology
Adverse effects of medical treatment	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1.84619729812687	1.28189612447069	2.54515021676221	GBD	Other
Interstitial lung disease and pulmonary sarcoidosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	63.6876261835594	54.5670386629412	74.3902891229335	GBD	Immunology
Animal contact	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	162.658737018167	126.862348128931	207.532461058031	GBD	Other
Cirrhosis and other chronic liver diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	31674.685277183	28908.1849371714	34235.9860950475	GBD	Immunology
Foreign body	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	299.455690605477	225.784371180007	397.564525195403	GBD	Other
Appendicitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	10.4172541282782	7.42363927554894	14.4164395660624	GBD	Other
Other unintentional injuries	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	405.690699409889	338.639761498251	497.126410307638	GBD	Other
Paralytic ileus and intestinal obstruction	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	12.1201102345972	10.8861340970236	13.6164632400009	GBD	Other
Self-harm	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	214.269553279091	179.594478332815	251.288082246687	GBD	Other
Inguinal, femoral, and abdominal hernia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	108.905172153912	86.2514818592262	134.224949400989	GBD	Other
Interpersonal violence	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	6205.92353999077	5545.45570140611	6830.81970830947	GBD	Other
Inflammatory bowel disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	14.0767294266782	11.6738183718702	16.6806735547485	GBD	Immunology
Exposure to forces of nature	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	88.5057877575229	58.2362944654112	134.482893887492	GBD	Other
Vascular intestinal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1.2058094994074	1.02791431764702	1.38464296669446	GBD	Other
Gallbladder and biliary diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	7692.90924217256	6344.96873192158	9372.07788209608	GBD	Other
Pancreatitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	47.0230380962595	31.9329555204803	68.2925602530306	GBD	Metabolism
Alzheimer's disease and other dementias	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	2230.55681648222	1866.93080877096	2645.20844996206	GBD	Neurology
Pulmonary Arterial Hypertension	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3.30833030647877	2.48669036007523	4.25604673486114	GBD	Cardiovascular
Parkinson's disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	604.8458479015	500.610699895557	722.084909128975	GBD	Neurology
Eye cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1.97888432025945	1.04641301899659	2.61921697396901	GBD	Other Onco Hem
Idiopathic epilepsy	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	261.664472821385	177.838109973742	360.319510450475	GBD	Neurology
Soft tissue and other extraosseous sarcomas	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	4.95201277169521	3.40253612194676	7.02949718993501	GBD	Other Onco Hem
Multiple sclerosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3.13837220018037	2.52400439205412	3.85723573624912	GBD	Neurology
Malignant neoplasm of bone and articular cartilage	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	17.3655841634381	10.6579557564674	24.0723833051808	GBD	Other Onco Hem
Motor neuron disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	2.38602874658449	1.88256273517851	2.96200893450699	GBD	Neurology
Neuroblastoma and other peripheral nervous cell tumors	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	0.23840846706199	0.168697794104589	0.317029436429853	GBD	Other Onco Hem
Other neurological disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	0.285087601424924	0.181717841395003	0.425930404408359	GBD	Neurology
COVID-19	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	0	0	0	GBD	Infectious Diseases
Schizophrenia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	383.626824746735	335.573813023801	433.251141373108	GBD	Other
Alcohol use disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1387.38894369335	1193.09969485895	1608.81854909541	GBD	Other
Drug use disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	630.401880903973	520.782545461296	762.540044565041	GBD	Other
Depressive disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	4357.98847089454	3915.39475649561	4817.51096950852	GBD	Other
Bipolar disorder	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	214.330005610127	182.94680319511	248.754687373019	GBD	Other
Anxiety disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3545.01914398419	3118.55292926533	4046.67961864811	GBD	Other
Eating disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	124.767796919682	86.1814369215558	178.084357751375	GBD	Other
Autism spectrum disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	622.266251251568	514.682981534534	740.729580701725	GBD	Other
Attention-deficit/hyperactivity disorder	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	1425.27683795499	1080.2907837634	1922.83142280595	GBD	Other
Environmental heat and cold exposure	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	132.282694151094	104.731776360593	169.591412347325	GBD	Other
Conduct disorder	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	218.807396286977	158.276999752791	282.518430532238	GBD	Other
Idiopathic developmental intellectual disability	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	201.719601326942	50.0968204007779	368.389408490238	GBD	Other
Other mental disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	2024.85963434372	1600.26114426682	2527.92262436728	GBD	Other
Executions and police conflict	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	119.533209267752	45.1709531508994	198.791221899381	GBD	Other
Diabetes mellitus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	13343.9974649112	12233.9953764631	14571.0630984414	GBD	Metabolism
Acute glomerulonephritis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	0.571777336261346	0.448341181141942	0.731505883084621	GBD	Renal
Conflict and terrorism	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	298.262947992613	0.253094334486648	1296.63242180242	GBD	Other
Chronic kidney disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	11061.2669824979	9657.58256516628	12902.8943737104	GBD	Renal
Urinary diseases and male infertility	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	3527.65064497208	2763.36664042131	4437.38010674654	GBD	Fertility
Gynecological diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	14575.1553708449	12761.9456277751	16429.5158707116	GBD	Fertility
Typhoid and paratyphoid	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	0.28445052928778	0.222733170926784	0.354237667391131	GBD	Other
Hemoglobinopathies and hemolytic anemias	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	26298.4736123126	25047.6304968857	27835.3209060259	GBD	Other Onco Hem
Invasive Non-typhoidal Salmonella (iNTS)	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	0.0074459246594043	0.0037222810518596	0.012105963348779	GBD	Infectious Diseases
Endocrine, metabolic, blood, and immune disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	11995.6628933916	9584.43739416486	14985.8112760395	GBD	Metabolism
Headache disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	30965.4742925485	28627.5110024069	33415.1047458141	GBD	Other
Rheumatoid arthritis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	413.594552628419	359.566183637872	473.85839982772	GBD	Immunology
Bacterial skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	205.621590211675	166.207461779971	255.547082811986	GBD	Infectious Diseases
Blindness and vision loss	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	29954.9099543634	23440.5914486121	37382.7432355305	GBD	Ophthalmology
Upper digestive system diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2036	7442.47500556328	6620.5005892396	8290.49223286733	GBD	Other
Tuberculosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	31964.0094092064	29000.6794650429	35210.5883003023	GBD	Infectious Diseases
HIV/AIDS	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	37.3805993356982	19.4711981618169	69.5491401265979	GBD	Infectious Diseases
Diarrheal diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	52.0919003093248	39.1411817950995	67.6498786709887	GBD	Other
Lower respiratory infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	113.115072670422	100.549120848398	127.26335303389	GBD	Infectious Diseases
Upper respiratory infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1545.24212775313	1373.22972943844	1735.95656995713	GBD	Infectious Diseases
Otitis media	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1087.24633749551	901.173310602329	1309.88868548861	GBD	Other
Meningitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	11.3983742265963	7.98393430872368	16.1173278409634	GBD	Infectious Diseases
Encephalitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	60.2387463993836	39.6875048922309	82.8439394602399	GBD	Other
Diphtheria	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.0002329387011182	0.0001627821611946	0.0003205648242895	GBD	Infectious Diseases
Whooping cough	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	2.22526657388158	1.44452236772535	3.38627980195218	GBD	Infectious Diseases
Tetanus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.0843969776293745	0.0412092460028038	0.143633126524237	GBD	Infectious Diseases
Measles	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.0010913066047207	0.0009822977741371	0.0012220809067595	GBD	Infectious Diseases
Varicella and herpes zoster	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	84.93192486798	57.0652322555959	120.749492574443	GBD	Infectious Diseases
Leishmaniasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1.26729230707035	0.491696129798497	3.25863262804592	GBD	Infectious Diseases
Schistosomiasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	666.663932584648	520.750713405355	859.870135264682	GBD	Infectious Diseases
Cysticercosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	47.4334196250159	30.9840513535815	70.6157633571715	GBD	Infectious Diseases
Cystic echinococcosis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	8.36821285855174	6.30439149416702	10.7733565926256	GBD	Infectious Diseases
Trachoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.590352616351242	0.375441803159389	0.892374160100327	GBD	Infectious Diseases
Dengue	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.176800862072078	0.044340678313318	0.566025285577552	GBD	Infectious Diseases
Rabies	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.0011035389214821	0.0003169702721261	0.0021206170336019	GBD	Infectious Diseases
Intestinal nematode infections	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	3501.34583336268	2128.50302731518	5398.87720394159	GBD	Infectious Diseases
Food-borne trematodiases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1911.29140503836	1637.9108468529	2243.16133454589	GBD	Infectious Diseases
Other neglected tropical diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	201.080716381288	189.882091696145	211.986692891538	GBD	Infectious Diseases
Maternal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	18.1318681612478	10.8301858194922	30.1842043551595	GBD	Other
Neonatal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1049.12799671547	999.65246441347	1101.09045335277	GBD	Other
Protein-energy malnutrition	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1677.85685084629	1413.3713298115	1996.51603915882	GBD	Other
Iodine deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1744.79930073476	1371.35506585907	2148.8685776459	GBD	Other
Vitamin A deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	917.560829500682	797.475839330229	1068.38085524108	GBD	Other
Dietary iron deficiency	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	5566.41651053065	5328.13652734802	5775.29613618164	GBD	Other
Sexually transmitted infections excluding HIV	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	16941.3620075388	14954.6880956808	19262.7176638138	GBD	Infectious Diseases
Acute hepatitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	203.024827688235	172.74332195692	248.409250825283	GBD	Metabolism
Leprosy	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.500143261922156	0.365282972741282	0.640812831181177	GBD	Infectious Diseases
Other unspecified infectious diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	290.669159743961	241.206679454685	353.059375282164	GBD	Infectious Diseases
Esophageal cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	55.313017532725	44.4980286749671	68.2649024275421	GBD	Oncology
Stomach cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	113.734595916101	88.3758489253102	144.726347088674	GBD	Oncology
Liver cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	24.8052037329898	19.4379349574047	30.4946614095589	GBD	Oncology
Larynx cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	23.8134649332911	18.6345464573576	29.9737281942035	GBD	Oncology
Tracheal, bronchus, and lung cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	129.948291757558	103.690960030406	158.817201212352	GBD	Oncology
Breast cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	379.648473293008	306.526666590539	470.985719068084	GBD	Oncology
Cervical cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	48.2713096201127	34.6367523634211	64.9896197223836	GBD	Oncology
Uterine cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	50.4909521018643	36.2603292312812	70.7088894795782	GBD	Oncology
Prostate cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	98.5341879798977	70.0517596463199	133.025125760781	GBD	Oncology
Colon and rectum cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	470.058447042997	373.582014369027	580.160845858947	GBD	Oncology
Lip and oral cavity cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	24.7060047131804	19.4790034128296	31.0763152014628	GBD	Oncology
Nasopharynx cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	28.3067067389175	22.4311548636972	35.6243881364271	GBD	Oncology
Other pharynx cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	3.3997168057734	2.66840710310495	4.35175721204906	GBD	Oncology
Gallbladder and biliary tract cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	7.31599612206571	4.77409271346368	9.76461813185949	GBD	Oncology
Pancreatic cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	11.7283095092282	9.00802989999593	15.0079213282908	GBD	Oncology
Malignant skin melanoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	11.7283448880089	6.48415266669872	15.8064767793071	GBD	Oncology
Non-melanoma skin cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	56.2319475094205	43.718220826831	71.5801564398209	GBD	Other Onco Hem
Ovarian cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	15.472761119377	10.778518612052	21.1302046258868	GBD	Oncology
Osteoarthritis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	15018.8370257577	13277.7620522878	16660.8869640429	GBD	Other
Low back pain	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	8455.28903653864	7341.07829390732	9452.95094039819	GBD	Other
Testicular cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	6.48288156022102	4.98688631643558	8.44999020647695	GBD	Oncology
Kidney cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	39.2161340292391	29.9696579944245	51.5078852328141	GBD	Oncology
Neck pain	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	3943.04120263692	3065.90585809299	4881.24843846096	GBD	Other
Bladder cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	71.3894538739284	56.5617159975224	92.1011309029294	GBD	Oncology
Brain and central nervous system cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	30.5144149214803	24.2243901645082	38.5647770899489	GBD	Oncology
Gout	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1650.66492190397	1287.4245032827	2085.31122617628	GBD	Other
Thyroid cancer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	38.9637587976463	31.2774206942477	48.9367759967673	GBD	Oncology
Other musculoskeletal disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	8878.70749649263	7509.00262010701	10585.9985792767	GBD	Other
Mesothelioma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	0.320837865455191	0.252163322819251	0.390556395872084	GBD	Oncology
Congenital birth defects	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	516.510981755197	458.342204449556	579.468117404451	GBD	Other
Hodgkin lymphoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	2.91483476763756	1.75920223867052	3.85652614256898	GBD	Oncology
Dermatitis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	3071.80758629157	2701.98419228634	3552.57531302811	GBD	Immunology
Non-Hodgkin lymphoma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	86.0410160673715	65.86226527035	109.049565123594	GBD	Oncology
Psoriasis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	637.296850068962	613.82302464524	660.400643376747	GBD	Immunology
Multiple myeloma	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	5.30106214651163	3.34682576861672	6.98589908607026	GBD	Oncology
Scabies	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	4405.77467283908	3945.17459905183	4892.19892758787	GBD	Infectious Diseases
Fungal skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	5607.17304853195	5059.56028919962	6305.52547959884	GBD	Infectious Diseases
Leukemia	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	45.2250496063775	30.5758134024918	58.2777981877144	GBD	Oncology
Viral skin diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1710.8622871181	1657.17714008747	1771.66862938435	GBD	Infectious Diseases
Other malignant neoplasms	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	63.9918858828507	49.9092054173731	80.5067036063097	GBD	Other Onco Hem
Other neoplasms	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1119.17784374762	958.232434299863	1295.17414400907	GBD	Other Onco Hem
Acne vulgaris	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	2533.63836512235	2321.58144460676	2773.39939288601	GBD	Other
Alopecia areata	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	244.836342177757	236.056003579438	253.826776849931	GBD	Immunology
Rheumatic heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	628.06433280612	514.965393758511	756.377501384227	GBD	Cardiovascular
Pruritus	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1625.23621683189	1433.40450210166	1840.71766137248	GBD	Other
Ischemic heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	7127.88514362413	5975.51521679687	8676.29207972854	GBD	Cardiovascular
Urticaria	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	664.766747883984	591.245543925475	734.410177209729	GBD	Immunology
Stroke	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	2690.66168789322	2433.17898173622	2972.79853152505	GBD	Cardiovascular
Decubitus ulcer	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	11.1241983393522	8.36496641256503	14.7626020025683	GBD	Other
Hypertensive heart disease	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	558.266956194986	402.65671962574	760.982051995049	GBD	Cardiovascular
Other skin and subcutaneous diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	9793.17294449422	7707.87718924478	12112.2462646116	GBD	Immunology
Cardiomyopathy and myocarditis	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	31.9842249048953	25.7509994552401	39.0311128107443	GBD	Cardiovascular
Age-related and other hearing loss	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	40499.9711331414	38082.2583192992	43009.1448966274	GBD	Other
Other sense organ diseases	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	3519.57056315929	2755.08554453657	4571.59977722136	GBD	Other
Atrial fibrillation and flutter	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	1351.26569764595	1053.89679963528	1790.3800621499	GBD	Cardiovascular
Oral disorders	Both	All Ages	China	Prevalence	Rate (per 100,000)	Reference	2037	44406.3934740947	40901.1908810285	47769.5613252783	GBD	Other
